matchId,date,patch,durationMin,champion,position,win,kills,deaths,assists,kda,cs,csPerMin,goldPerMin,dmgPerMin,teamDmgPct,killParticipation,visionPerMin,controlWards,soloKills,timeDeadSec,deadPct,laneMinions10,laneGoldExpAdv,earlyLaneAdv,maxCsAdvOpp,visionAdvOpp,goldDiff10,csDiff10,xpDiff10,goldDiff14,csDiff14,xpDiff14,firstTowerKilledTime,turretPlates,doubleKills,tripleKills,quadraKills,pentaKills,surrenderEnd,earlySurrender
NA1_5152646521,1731392104,14.22,22.8,Caitlyn,BOTTOM,1,7,4,4,2.75,147,6.46,423.1,726.4,21.9,42.3,0.66,1,0,107,7.8,73,0,0,8,0.27,69,-5,-492,-209,-4,-620,0,0,1,1,0,0,0,0
NA1_5154296522,1731624482,14.22,30.7,Ashe,BOTTOM,0,4,8,4,1,178,5.8,322.6,518.5,18.1,36.4,1.03,2,0,201,10.9,37,0,0,2,0.01,-872,-25,-286,-2420,-37,-522,0,0,0,0,0,0,1,0
NA1_5154984566,1731711051,14.22,34.9,Caitlyn,BOTTOM,0,12,5,4,3.2,303,8.69,475.7,1174.3,27.4,47.1,0.96,1,1,174,8.3,71,0,0,38.2,0.26,416,8,461,651,7,370,0,0,1,1,0,0,1,0
NA1_5156722366,1731898384,14.22,26.4,Jhin,BOTTOM,1,10,2,6,8,203,7.7,502.4,716.1,17.0,39.0,0.82,1,1,84,5.3,62,1,0,29.2,0.87,776,9,322,1624,16,1334,806.0,4,1,0,0,0,0,0
NA1_5156756705,1731900389,14.22,18.7,Caitlyn,BOTTOM,1,11,3,3,4.67,154,8.23,559.3,1028.0,33.5,50.0,0.53,0,1,55,4.9,58,0,0,63,0.38,2127,20,10,3321,38,819,741.0,5,1,0,0,0,1,0
NA1_5160314529,1732260053,14.23,33.3,Caitlyn,BOTTOM,0,8,8,3,1.38,254,7.63,438.8,683.6,17.7,39.3,0.7,2,0,269,13.5,75,1,0,44.8,0.06,613,24,834,1080,40,1354,858.0,3,1,0,0,0,0,0
NA1_5160342260,1732262491,14.23,33.4,Caitlyn,BOTTOM,1,3,3,5,2.67,283,8.47,432.7,600.4,15.6,29.6,0.83,2,0,114,5.7,75,0,0,50.0,0.68,136,7,-154,288,8,214,988.0,1,0,0,0,0,0,0
NA1_5161367525,1732346732,14.23,24.4,Caitlyn,BOTTOM,1,2,3,5,2.33,228,9.33,462.7,509.6,17.2,21.9,0.63,1,1,84,5.7,76,0,0,48.5,-0.27,649,18,487,324,27,383,0,4,0,0,0,0,0,0
NA1_5177711681,1733781496,14.23,28.6,Jhin,BOTTOM,1,8,2,8,8,215,7.53,465.8,665.0,24.9,61.5,0.58,1,3,60,3.5,69,0,0,28,-0.04,1137,20,345,1091,21,788,0,0,1,1,0,0,1,0
NA1_5178919163,1733895231,14.23,21.9,Caitlyn,BOTTOM,1,12,4,4,4,153,7.0,564.9,1205.5,29.2,48.5,0.96,2,4,87,6.6,74,1,0,48,2.94,-282,15,428,1463,30,1274,680.0,5,3,0,0,0,0,0
